date,FA165000005.A,FA164090005.A,FA163020005.A,FA163030205.A,FA164022005.A,FA163061005.A,FA163063005.A,FA164023005.A,FA163065013.A,FA163066223.A,FA164041005.A,FA163064005.A,FA163070005.A,FA163093005.A,FA164190005.A,FA163162003.A,FA164123005.A,FA163168005.A,FA163169385.A,FA163165505.A,FA163170005.A,FA163193005.A,FA164090015.A,FA164090025.A
1988,23636.00,40977.00,519.00,-12850.00,10568.00,6847.00,3721.00,1534.00,-66.00,0.00,1600.00,18490.00,2872.00,19844.00,17341.00,1491.00,6190.00,1618.00,-9.00,4581.00,2616.00,7044.00,9820.00,31157.00
1989,21205.00,66023.00,-1013.00,3817.00,18681.00,12273.00,6408.00,2386.00,59.00,0.00,2327.00,11586.00,5956.00,24610.00,44818.00,3151.00,9998.00,2823.00,-47.00,7222.00,16518.00,15151.00,8628.00,57395.00
1990,28653.00,65434.00,1312.00,4560.00,7555.00,3279.00,4276.00,1971.00,191.00,0.00,1780.00,18662.00,5871.00,25503.00,36781.00,2979.00,10100.00,2535.00,267.00,7298.00,11082.00,12620.00,13196.00,52238.00
1991,56801.00,109296.00,4013.00,10190.00,10226.00,5399.00,4827.00,1165.00,140.00,0.00,1025.00,30996.00,4144.00,48562.00,52495.00,3817.00,12083.00,2951.00,376.00,8756.00,9057.00,27538.00,34109.00,75187.00
1992,30662.00,69138.00,1221.00,2029.00,9030.00,4666.00,4364.00,1801.00,80.00,0.00,1721.00,30229.00,2491.00,22337.00,38476.00,2380.00,9185.00,2705.00,-189.00,6669.00,4727.00,22184.00,5818.00,63320.00
1993,39914.00,80717.00,1640.00,6893.00,8982.00,3937.00,5045.00,3039.00,113.00,0.00,2926.00,24476.00,4244.00,31443.00,40803.00,1061.00,-54.00,-10922.00,64.00,10804.00,7986.00,31810.00,10553.00,70164.00
1994,41332.00,80995.00,2668.00,3031.00,8740.00,5459.00,3281.00,4147.00,-102.00,0.00,4249.00,46892.00,4583.00,10934.00,39663.00,3186.00,-991.00,-341.00,142.00,-792.00,4423.00,33045.00,14769.00,66226.00
1995,95127.00,156181.00,2857.00,2817.00,21932.00,13808.00,8124.00,5386.00,71.00,0.00,5315.00,48643.00,3912.00,70634.00,61054.00,221.00,-197.00,72.00,-114.00,-155.00,10110.00,50920.00,-1869.00,158050.00
1996,91439.00,154183.00,2661.00,13038.00,12570.00,6892.00,5678.00,4965.00,23.00,0.00,4942.00,66151.00,6979.00,47819.00,62744.00,6081.00,4167.00,805.00,29.00,3334.00,9242.00,43254.00,21966.00,132217.00
1997,156677.00,221138.00,2733.00,14531.00,34116.00,13464.00,20652.00,5059.00,35.00,0.00,5024.00,78264.00,7474.00,78961.00,64461.00,7131.00,4390.00,1042.00,-164.00,3512.00,9515.00,43425.00,47912.00,173226.00
1998,112352.00,-42927.00,2778.00,8573.00,-30436.00,-25824.00,-4612.00,4049.00,30.00,0.00,4019.00,-14828.00,9867.00,-22930.00,-155279.00,11758.00,12541.00,2608.00,-99.00,10032.00,7674.00,-187252.00,44585.00,-87512.00
1999,117467.00,154171.00,2240.00,9495.00,27152.00,16524.00,10628.00,8641.00,161.00,0.00,8480.00,55884.00,2918.00,47841.00,36704.00,10413.00,4098.00,697.00,122.00,3279.00,5776.00,16417.00,58368.00,95803.00
2000,32284.00,100721.00,4695.00,11598.00,26780.00,7988.00,18792.00,8378.00,625.00,0.00,7753.00,2616.00,10100.00,36554.00,68437.00,5759.00,14057.00,3099.00,-287.00,11245.00,6127.00,42494.00,22243.00,78478.00
2001,-59522.00,32597.00,7328.00,7305.00,9876.00,-12.00,9888.00,6040.00,-280.00,0.00,6320.00,-15680.00,884.00,16844.00,92119.00,13827.00,12742.00,2608.00,-60.00,10194.00,-1001.00,66551.00,732.00,31865.00
2002,-41697.00,48745.00,2602.00,11866.00,-10408.00,-13440.00,3032.00,17856.00,56.00,0.00,17800.00,12600.00,4736.00,9493.00,90442.00,12569.00,12114.00,2341.00,82.00,9691.00,17423.00,48336.00,-28866.00,77611.00
2003,162503.00,210043.00,6129.00,12179.00,13728.00,11308.00,2420.00,7704.00,-244.00,0.00,7948.00,98212.00,4406.00,67685.00,47540.00,13806.00,7474.00,1597.00,-103.00,5980.00,6600.00,19660.00,36394.00,173649.00
2004,121802.00,182467.00,3007.00,12862.00,2856.00,2320.00,536.00,8353.00,-133.00,0.00,8486.00,77000.00,9592.00,68797.00,60665.00,14381.00,5964.00,1539.00,-346.00,4771.00,17841.00,22479.00,27240.00,155227.00
2005,138153.00,184900.00,3668.00,14849.00,-812.00,1400.00,-2212.00,-2250.00,-50.00,0.00,-2200.00,58116.00,9881.00,101448.00,46747.00,14446.00,9799.00,1960.00,0.00,7839.00,14097.00,8405.00,34562.00,150338.00
2006,266729.00,384277.00,7624.00,31002.00,17160.00,12872.00,4288.00,25646.00,-50.00,5988.00,19708.00,168956.00,8141.00,125748.00,117548.00,16442.00,21968.00,4394.00,0.00,17574.00,16480.00,62658.00,88081.00,296196.00
2007,13106.00,102165.00,5800.00,21164.00,-596.00,-8688.00,8092.00,17100.00,-13.00,7696.00,9417.00,12584.00,9971.00,36142.00,89059.00,22415.00,16226.00,3245.00,0.00,12981.00,17837.00,32581.00,14123.00,88042.00
2008,-411864.00,-337587.00,-2397.00,16590.00,808.00,-1288.00,2096.00,4947.00,-119.00,6386.00,-1320.00,-249096.00,7518.00,-115957.00,74277.00,10658.00,-2039.00,-10810.00,0.00,8771.00,24223.00,41435.00,-54018.00,-283569.00
2009,130151.00,219280.00,9492.00,-782.00,30564.00,7648.00,22916.00,-10058.00,-130.00,-6394.00,-3534.00,71268.00,-761.00,119557.00,89129.00,6851.00,1007.00,10830.00,0.00,-9823.00,41770.00,39501.00,18995.00,200285.00
2010,275304.00,289926.00,10085.00,-1821.00,-15556.00,-19388.00,3832.00,-13487.00,23.00,-11203.00,-2307.00,128032.00,6267.00,176406.00,14622.00,-1263.00,129.00,-942.00,0.00,1071.00,-29221.00,44977.00,31939.00,257987.00
2011,-19854.00,64753.00,7422.00,-4590.00,3700.00,-1516.00,5216.00,-14673.00,48.00,-4253.00,-10468.00,15572.00,14363.00,42959.00,84607.00,-7480.00,7119.00,1397.00,0.00,5722.00,19990.00,64978.00,9611.00,55142.00
2012,196219.00,265966.00,6211.00,15086.00,-7888.00,-8736.00,848.00,-9279.00,185.00,-9049.00,-415.00,127568.00,9006.00,125262.00,69747.00,-13895.00,15245.00,6532.00,0.00,8713.00,7157.00,61240.00,35466.00,230500.00
2013,285149.00,305383.00,10831.00,6153.00,-10540.00,-5496.00,-5044.00,2678.00,-344.00,-6184.00,9206.00,156808.00,5641.00,133812.00,20234.00,-14440.00,6920.00,-1996.00,0.00,8916.00,-5609.00,33363.00,59074.00,246309.00
