date,FL504090005.Q,FL503034003.Q,FL502051003.Q,FL504022005.Q,FL503069105.Q,FL503063005.Q,FL503069805.Q,FL503064105.Q,FL503094505.Q,FL753194503.Q,FL663194505.Q,FL504190005.Q,FL504122005.Q,FL503169105.Q,FL503163005.Q,FL504123005.Q,FL713068505.Q,FL503169205.Q,FL503192003.Q,FL503190005.Q,FL663097005.Q,FL503194305.Q,FL503193005.Q
1975:Q3,22991.00,0.00,0.00,22991.00,22991.00,0.00,0.00,0.00,0.00,0.00,0.00,22991.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,22991.00,0.00,0.00,22991.00
1975:Q4,21087.00,0.00,0.00,21087.00,21087.00,0.00,0.00,0.00,0.00,0.00,0.00,21087.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,21087.00,0.00,0.00,21087.00
1976:Q1,21674.00,155.00,0.00,21519.00,21519.00,0.00,0.00,0.00,0.00,0.00,0.00,21674.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,21674.00,310.00,0.00,21364.00
1976:Q2,22169.00,89.00,0.00,22080.00,22080.00,0.00,0.00,0.00,0.00,0.00,0.00,22169.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,22169.00,178.00,0.00,21991.00
1976:Q3,19723.00,99.00,0.00,19624.00,19624.00,0.00,0.00,0.00,0.00,0.00,0.00,19723.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,19723.00,198.00,0.00,19525.00
1976:Q4,18284.00,305.00,0.00,17979.00,17979.00,0.00,0.00,0.00,0.00,0.00,0.00,18284.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,18284.00,610.00,0.00,17674.00
1977:Q1,25743.00,466.00,0.00,25277.00,25277.00,0.00,0.00,0.00,0.00,0.00,0.00,25743.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,25743.00,931.00,0.00,24812.00
1977:Q2,29977.00,270.00,0.00,29707.00,29707.00,0.00,0.00,0.00,0.00,0.00,0.00,29977.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,29977.00,540.00,0.00,29437.00
1977:Q3,30350.00,222.00,0.00,30128.00,30128.00,0.00,0.00,0.00,0.00,0.00,0.00,30350.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,30350.00,443.00,0.00,29907.00
1977:Q4,33364.00,246.00,0.00,33118.00,33118.00,0.00,0.00,0.00,0.00,0.00,0.00,33364.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,33364.00,491.00,0.00,32873.00
1978:Q1,33915.00,281.00,0.00,33634.00,33634.00,0.00,0.00,0.00,0.00,0.00,0.00,33915.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,33915.00,561.00,0.00,33354.00
1978:Q2,40736.00,180.00,0.00,40556.00,40556.00,0.00,0.00,0.00,0.00,0.00,0.00,40736.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,40736.00,360.00,0.00,40376.00
1978:Q3,40213.00,259.00,0.00,39954.00,39954.00,0.00,0.00,0.00,0.00,0.00,0.00,40213.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,40213.00,517.00,0.00,39696.00
1978:Q4,49128.00,508.00,0.00,48620.00,48620.00,0.00,0.00,0.00,0.00,0.00,0.00,49128.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,49128.00,1016.00,0.00,48112.00
1979:Q1,53196.00,278.00,0.00,52918.00,52918.00,0.00,0.00,0.00,0.00,0.00,0.00,53196.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,53196.00,555.00,0.00,52641.00
1979:Q2,56348.00,302.00,0.00,56046.00,56046.00,0.00,0.00,0.00,0.00,0.00,0.00,56348.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,56348.00,604.00,0.00,55744.00
1979:Q3,60046.00,389.00,0.00,59657.00,59657.00,0.00,0.00,0.00,0.00,0.00,0.00,60046.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,60046.00,777.00,0.00,59269.00
1979:Q4,58957.00,573.00,0.00,58384.00,58384.00,0.00,0.00,0.00,0.00,0.00,0.00,58957.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,58957.00,1146.00,0.00,57811.00
1980:Q1,62987.00,360.00,0.00,62627.00,62627.00,0.00,0.00,0.00,0.00,0.00,0.00,62987.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,62987.00,720.00,0.00,62267.00
1980:Q2,67731.00,387.00,0.00,54645.00,54645.00,0.00,0.00,0.00,12699.00,4024.00,8675.00,67731.00,12699.00,12699.00,0.00,0.00,0.00,0.00,0.00,55032.00,773.00,0.00,54259.00
1980:Q3,67090.00,897.00,0.00,52775.00,52775.00,0.00,0.00,0.00,13418.00,4563.00,8855.00,67090.00,13418.00,13418.00,0.00,0.00,0.00,0.00,0.00,53672.00,1793.00,0.00,51879.00
1980:Q4,68225.00,565.00,0.00,55137.00,55137.00,0.00,0.00,0.00,12523.00,3892.00,8631.00,68225.00,12523.00,12523.00,0.00,0.00,0.00,0.00,0.00,55702.00,1130.00,0.00,54572.00
1981:Q1,65693.00,418.00,0.00,51187.00,51187.00,0.00,0.00,0.00,14088.00,4566.00,9522.00,65693.00,14088.00,14088.00,0.00,0.00,0.00,0.00,0.00,51605.00,797.00,0.00,50808.00
1981:Q2,67112.00,560.00,0.00,52185.00,52185.00,0.00,0.00,0.00,14367.00,2775.00,11592.00,67112.00,14367.00,14367.00,0.00,0.00,0.00,0.00,0.00,52745.00,1040.00,0.00,51705.00
1981:Q3,71340.00,560.00,0.00,53511.00,53511.00,0.00,0.00,0.00,17269.00,2952.00,14317.00,71340.00,17269.00,17269.00,0.00,0.00,0.00,0.00,0.00,54071.00,576.00,0.00,53495.00
1981:Q4,68159.00,1122.00,0.00,50224.00,50224.00,0.00,0.00,0.00,16813.00,12610.00,4203.00,68159.00,16813.00,16813.00,0.00,0.00,0.00,0.00,0.00,51346.00,2084.00,0.00,49262.00
1982:Q1,74982.00,1118.00,0.00,55936.00,55936.00,0.00,0.00,0.00,17928.00,13446.00,4482.00,74982.00,17928.00,17928.00,0.00,0.00,0.00,0.00,0.00,57054.00,1977.00,0.00,55077.00
1982:Q2,86955.00,1714.00,0.00,65183.00,65183.00,0.00,0.00,0.00,20058.00,15043.00,5015.00,86955.00,20058.00,20058.00,0.00,0.00,0.00,0.00,0.00,66897.00,3068.00,0.00,63829.00
1982:Q3,83715.00,2072.00,0.00,59288.00,59288.00,0.00,0.00,0.00,22355.00,16766.00,5589.00,83715.00,22355.00,22355.00,0.00,0.00,0.00,0.00,0.00,61360.00,3684.00,0.00,57676.00
1982:Q4,86069.00,1420.00,0.00,61893.00,61893.00,0.00,0.00,0.00,22756.00,17067.00,5689.00,86069.00,22756.00,22756.00,0.00,0.00,0.00,0.00,0.00,63313.00,2280.00,0.00,61033.00
1983:Q1,99011.00,2282.00,0.00,74868.00,74868.00,0.00,0.00,0.00,21861.00,16273.00,5588.00,99011.00,21861.00,21697.00,164.00,0.00,0.00,0.00,0.00,77150.00,4003.00,0.00,73147.00
1983:Q2,98498.00,1946.00,0.00,73698.00,73698.00,0.00,0.00,0.00,22854.00,16866.00,5988.00,98498.00,22854.00,22488.00,366.00,0.00,0.00,0.00,0.00,75644.00,3331.00,0.00,72313.00
1983:Q3,97973.00,2280.00,0.00,73029.00,73029.00,0.00,0.00,0.00,22664.00,16609.00,6055.00,97973.00,22664.00,22146.00,518.00,0.00,0.00,0.00,0.00,75309.00,2416.00,0.00,72893.00
1983:Q4,112111.00,2878.00,0.00,83284.00,83284.00,0.00,0.00,0.00,25949.00,19257.00,6692.00,112111.00,25949.00,25676.00,273.00,0.00,0.00,0.00,0.00,86162.00,5195.00,0.00,80967.00
1984:Q1,111342.00,3157.00,0.00,81557.00,81557.00,0.00,0.00,0.00,26628.00,19167.00,7461.00,111342.00,26628.00,25556.00,1072.00,0.00,0.00,0.00,0.00,84714.00,5752.00,0.00,78962.00
1984:Q2,122742.00,1943.00,0.00,100121.00,100121.00,0.00,0.00,0.00,20678.00,14786.00,5892.00,122742.00,20678.00,19715.00,963.00,0.00,0.00,0.00,0.00,102064.00,3325.00,0.00,98739.00
1984:Q3,123013.00,2897.00,0.00,92290.00,92290.00,0.00,0.00,0.00,27826.00,20041.00,7785.00,123013.00,27826.00,26721.00,1105.00,0.00,0.00,0.00,0.00,95187.00,5232.00,0.00,89955.00
1984:Q4,120182.00,2972.00,0.00,90098.00,90098.00,0.00,0.00,0.00,27112.00,19592.00,7520.00,120182.00,27112.00,26123.00,989.00,0.00,0.00,0.00,0.00,93070.00,5381.00,0.00,87689.00
1985:Q1,139405.00,2331.00,0.00,106908.00,106908.00,0.00,0.00,0.00,30166.00,21362.00,8804.00,139405.00,30166.00,28483.00,1683.00,0.00,0.00,0.00,0.00,109239.00,4099.00,0.00,105140.00
1985:Q2,136899.00,3134.00,0.00,103319.00,103319.00,0.00,0.00,0.00,30446.00,21025.00,9421.00,136899.00,30446.00,28034.00,2412.00,0.00,0.00,0.00,0.00,106453.00,5704.00,0.00,100749.00
1985:Q3,161632.00,2530.00,0.00,123377.00,123377.00,0.00,0.00,0.00,35725.00,20436.00,15289.00,161632.00,35725.00,32582.00,3143.00,0.00,0.00,0.00,0.00,125907.00,4496.00,0.00,121411.00
1985:Q4,182645.00,3717.00,0.00,140223.00,140223.00,0.00,0.00,0.00,38705.00,22679.00,16026.00,182645.00,38705.00,35572.00,3133.00,0.00,0.00,0.00,0.00,143940.00,6869.00,0.00,137071.00
1986:Q1,176866.00,4145.00,0.00,129790.00,129790.00,0.00,0.00,0.00,42931.00,25592.00,17339.00,176866.00,50976.00,47046.00,3930.00,0.00,0.00,0.00,-8045.00,133935.00,7725.00,0.00,126210.00
1986:Q2,187297.00,6233.00,0.00,135101.00,135101.00,0.00,0.00,0.00,45963.00,18861.00,27102.00,187297.00,55576.00,50592.00,4984.00,0.00,0.00,0.00,-9613.00,141334.00,11900.00,0.00,129434.00
1986:Q3,194669.00,5934.00,0.00,142000.00,142000.00,0.00,0.00,0.00,46735.00,24477.00,22258.00,194669.00,57936.00,52098.00,5838.00,0.00,0.00,0.00,-11201.00,147934.00,11302.00,0.00,136632.00
1986:Q4,196838.00,6289.00,0.00,144312.00,144312.00,0.00,0.00,0.00,46237.00,26850.00,19387.00,196838.00,58685.00,54122.00,4563.00,0.00,0.00,0.00,-12448.00,150601.00,12011.00,0.00,138590.00
1987:Q1,202249.00,8175.00,0.00,146963.00,146963.00,0.00,0.00,0.00,47111.00,27370.00,19741.00,202249.00,62154.00,56766.00,5388.00,0.00,0.00,0.00,-15043.00,155138.00,15783.00,0.00,139355.00
1987:Q2,224769.00,9971.00,0.00,163461.00,163461.00,0.00,0.00,0.00,51337.00,30929.00,20408.00,224769.00,70061.00,64566.00,5495.00,0.00,0.00,0.00,-18724.00,173432.00,19375.00,0.00,154057.00
1987:Q3,215139.00,10715.00,0.00,153047.00,153047.00,0.00,0.00,0.00,51377.00,32855.00,18522.00,215139.00,70059.00,64421.00,5638.00,0.00,0.00,0.00,-18682.00,163762.00,20863.00,0.00,142899.00
1987:Q4,234882.00,8494.00,0.00,170569.00,170569.00,0.00,0.00,0.00,55819.00,34073.00,21746.00,234882.00,79743.00,72496.00,7247.00,0.00,0.00,0.00,-23924.00,179063.00,15137.00,0.00,163926.00
1988:Q1,245095.00,9620.00,0.00,171396.00,171396.00,0.00,0.00,0.00,64079.00,38721.00,25358.00,245095.00,95760.00,88003.00,7757.00,0.00,0.00,0.00,-31681.00,181016.00,17388.00,0.00,163628.00
1988:Q2,276654.00,12300.00,0.00,194485.00,194485.00,0.00,0.00,0.00,69869.00,42946.00,26923.00,276654.00,106823.00,99875.00,6948.00,0.00,0.00,0.00,-36954.00,206785.00,22747.00,0.00,184038.00
1988:Q3,287831.00,9080.00,0.00,203913.00,203913.00,0.00,0.00,0.00,74838.00,45603.00,29235.00,287831.00,116098.00,108579.00,7519.00,0.00,0.00,0.00,-41260.00,212993.00,16307.00,0.00,196686.00
1988:Q4,308411.00,12513.00,0.00,220525.00,220525.00,0.00,0.00,0.00,75373.00,46871.00,28502.00,308411.00,117780.00,111597.00,6183.00,0.00,0.00,0.00,-42407.00,233038.00,23173.00,0.00,209865.00
1989:Q1,317320.00,11107.00,0.00,224615.00,224615.00,0.00,0.00,0.00,81598.00,50758.00,30840.00,317320.00,127701.00,121325.00,6376.00,0.00,0.00,0.00,-46103.00,235722.00,20362.00,0.00,215360.00
1989:Q2,324496.00,14074.00,0.00,229351.00,229351.00,0.00,0.00,0.00,81071.00,49358.00,31713.00,324496.00,129182.00,122587.00,6595.00,0.00,0.00,0.00,-48111.00,243425.00,26296.00,0.00,217129.00
1989:Q3,320592.00,12973.00,0.00,228349.00,228349.00,0.00,0.00,0.00,79270.00,47152.00,32118.00,320592.00,127796.00,119839.00,7957.00,0.00,0.00,0.00,-48526.00,241322.00,24094.00,0.00,217228.00
1989:Q4,317538.00,20557.00,0.00,219150.00,219150.00,0.00,0.00,0.00,77831.00,49482.00,28349.00,317538.00,130273.00,125416.00,4857.00,0.00,0.00,0.00,-52442.00,239707.00,39261.00,0.00,200446.00
1990:Q1,326295.00,23567.00,0.00,226217.00,226217.00,0.00,0.00,0.00,76511.00,46650.00,29861.00,326295.00,129012.00,122136.00,6876.00,0.00,0.00,0.00,-52501.00,249784.00,45280.00,0.00,204504.00
1990:Q2,338622.00,27534.00,0.00,233934.00,233934.00,0.00,0.00,0.00,77154.00,44250.00,32904.00,338622.00,130233.00,120253.00,9980.00,0.00,0.00,0.00,-53079.00,261468.00,53214.00,0.00,208254.00
1990:Q3,345323.00,34470.00,0.00,229979.00,229979.00,0.00,0.00,0.00,80874.00,50083.00,30791.00,345323.00,142040.00,133988.00,8052.00,0.00,0.00,0.00,-61166.00,264449.00,67085.00,0.00,197364.00
1990:Q4,339199.00,36629.00,0.00,221140.00,221140.00,0.00,0.00,0.00,81430.00,47640.00,33790.00,339199.00,147105.00,139384.00,7721.00,0.00,0.00,0.00,-65675.00,257769.00,71403.00,0.00,186366.00
1991:Q1,324581.00,37688.00,0.00,204945.00,204945.00,0.00,0.00,0.00,81948.00,46732.00,35216.00,324581.00,150713.00,141724.00,8989.00,0.00,0.00,0.00,-68765.00,242633.00,72021.00,0.00,170612.00
1991:Q2,305968.00,43673.00,0.00,182556.00,182556.00,0.00,0.00,0.00,79739.00,42634.00,37105.00,305968.00,145390.00,133434.00,11956.00,0.00,0.00,0.00,-65651.00,226229.00,79494.00,0.00,146735.00
1991:Q3,308296.00,51157.00,0.00,172036.00,172036.00,0.00,0.00,0.00,85103.00,44470.00,40633.00,308296.00,144300.00,131142.00,13158.00,0.00,0.00,0.00,-59197.00,223193.00,90020.00,0.00,133173.00
1991:Q4,325464.00,54087.00,0.00,179657.00,179657.00,0.00,0.00,0.00,91720.00,47233.00,44487.00,325464.00,143119.00,128449.00,14670.00,0.00,0.00,0.00,-51399.00,233744.00,102937.00,0.00,130807.00
1992:Q1,343422.00,62668.00,0.00,183374.00,183374.00,0.00,0.00,0.00,97380.00,47688.00,49692.00,343422.00,160199.00,141820.00,18379.00,0.00,0.00,0.00,-62819.00,246042.00,117992.00,0.00,128050.00
1992:Q2,350484.00,59004.00,0.00,187143.00,187143.00,0.00,0.00,0.00,104337.00,51548.00,52789.00,350484.00,169419.00,149853.00,19566.00,0.00,0.00,0.00,-65082.00,246147.00,109332.00,0.00,136815.00
1992:Q3,376488.00,77101.00,0.00,188610.00,188610.00,0.00,0.00,0.00,110777.00,51706.00,59071.00,376488.00,172404.00,149205.00,23199.00,0.00,0.00,0.00,-61627.00,265711.00,144268.00,0.00,121443.00
1992:Q4,392620.00,80913.00,0.00,196940.00,196940.00,0.00,0.00,0.00,114767.00,51104.00,63663.00,392620.00,168575.00,142214.00,26361.00,0.00,0.00,0.00,-53808.00,277853.00,153534.00,0.00,124319.00
1993:Q1,375129.00,81145.00,0.00,182115.00,181115.00,1000.00,0.00,0.00,111869.00,41999.00,69870.00,375129.00,170333.00,135791.00,34542.00,0.00,0.00,0.00,-58464.00,263260.00,159684.00,0.00,103576.00
1993:Q2,376627.00,82870.00,0.00,179694.00,177694.00,2000.00,0.00,0.00,114063.00,38059.00,76004.00,376627.00,175273.00,138502.00,36771.00,0.00,0.00,0.00,-61210.00,262564.00,163491.00,0.00,99073.00
1993:Q3,412059.00,92162.00,0.00,196584.00,193584.00,3000.00,0.00,0.00,123313.00,44070.00,79243.00,412059.00,175898.00,135987.00,39911.00,0.00,0.00,0.00,-52585.00,288746.00,177918.00,0.00,110828.00
1993:Q4,426147.00,95810.00,0.00,204955.00,200955.00,4000.00,0.00,0.00,125382.00,44541.00,80841.00,426147.00,180259.00,140298.00,39961.00,0.00,0.00,0.00,-54877.00,300765.00,197105.00,0.00,103660.00
1994:Q1,443816.00,104485.00,0.00,204874.00,199874.00,5000.00,0.00,0.00,134457.00,43630.00,90827.00,443816.00,200705.00,148053.00,52652.00,0.00,0.00,0.00,-66248.00,309359.00,206857.00,0.00,102502.00
1994:Q2,436026.00,106020.00,0.00,192528.00,180528.00,12000.00,0.00,0.00,137478.00,46560.00,90918.00,436026.00,201928.00,144974.00,56954.00,0.00,0.00,0.00,-64450.00,298548.00,222245.00,0.00,76303.00
1994:Q3,457569.00,121939.00,0.00,198368.00,185868.00,12500.00,0.00,0.00,137262.00,41396.00,95866.00,457569.00,209674.00,146236.00,63438.00,0.00,0.00,0.00,-72412.00,320307.00,233742.00,0.00,86565.00
1994:Q4,452184.00,108880.00,0.00,202329.00,188329.00,14000.00,0.00,0.00,140975.00,44072.00,96903.00,452184.00,211040.00,151058.00,59982.00,0.00,0.00,0.00,-70065.00,311209.00,221668.00,0.00,89541.00
1995:Q1,470223.00,112597.00,0.00,202101.00,188101.00,14000.00,0.00,0.00,155525.00,50226.00,105299.00,470223.00,233784.00,160629.00,73155.00,0.00,0.00,0.00,-78259.00,314698.00,233510.00,0.00,81188.00
1995:Q2,464039.00,109201.00,0.00,194501.00,178501.00,16000.00,0.00,0.00,160337.00,52251.00,108086.00,464039.00,243416.00,164733.00,78683.00,0.00,0.00,0.00,-83079.00,303702.00,214687.00,0.00,89015.00
1995:Q3,475596.00,108327.00,0.00,200532.00,180532.00,20000.00,0.00,0.00,166737.00,51329.00,115408.00,475596.00,254083.00,171292.00,82791.00,0.00,0.00,0.00,-87346.00,308859.00,211925.00,0.00,96934.00
1995:Q4,468455.00,110128.00,0.00,191914.00,168164.00,23750.00,927.00,0.00,165486.00,50734.00,114752.00,468455.00,248600.00,164221.00,84379.00,0.00,0.00,0.00,-82187.00,302042.00,216174.00,0.00,85868.00
1996:Q1,522513.00,128199.00,0.00,213719.00,186438.00,27281.00,1293.00,0.00,179302.00,52693.00,126609.00,522513.00,261249.00,159084.00,102165.00,0.00,0.00,0.00,-80654.00,341918.00,242572.00,0.00,99346.00
1996:Q2,541460.00,139025.00,0.00,210166.00,179166.00,31000.00,1659.00,0.00,190610.00,52851.00,137759.00,541460.00,281977.00,176413.00,105564.00,0.00,0.00,0.00,-89708.00,349191.00,249460.00,0.00,99731.00
1996:Q3,579928.00,151436.00,0.00,222227.00,186914.00,35313.00,2027.00,0.00,204238.00,59431.00,144807.00,579928.00,290773.00,181973.00,108800.00,0.00,0.00,0.00,-84508.00,373663.00,265248.00,0.00,108415.00
1996:Q4,608740.00,175724.00,0.00,201075.00,164527.00,36548.00,1215.00,0.00,230726.00,64468.00,166258.00,608740.00,312363.00,198763.00,113600.00,0.00,0.00,0.00,-79245.00,375622.00,276062.00,0.00,99560.00
1997:Q1,665555.00,185526.00,0.00,218763.00,184204.00,34559.00,1481.00,0.00,259785.00,79358.00,180427.00,665555.00,348033.00,223011.00,125022.00,0.00,0.00,0.00,-85598.00,403120.00,291354.00,0.00,111766.00
1997:Q2,671153.00,193578.00,0.00,219394.00,183819.00,35575.00,1747.00,0.00,256434.00,74288.00,182146.00,671153.00,349231.00,224937.00,124294.00,0.00,0.00,0.00,-89890.00,411812.00,337251.00,0.00,74561.00
1997:Q3,708399.00,200531.00,0.00,229469.00,194325.00,35144.00,2012.00,0.00,276387.00,82895.00,193492.00,708399.00,362471.00,225305.00,137166.00,0.00,0.00,0.00,-77352.00,423280.00,334254.00,0.00,89026.00
